rank,slug,topic,evidence_state,grade,score,n_sources,strength_band,full_anchor,partial_anchor,weak_anchor,disputed,t3_clinical,practice,weak_only,tier_profile,n_true_jurisdictions,n_jurisdictions_raw,jurisdictions,n_languages,languages,pct_english,n_nonenglish,pct_anglo_core,anglo_core_instances,supra_instances,non_anglo_instances,null_jurisdiction_instances,comp_volume,comp_tier,comp_jurisdiction,comp_language,comp_anglo_balance,search_langs_run,search_langs_hit
29,circadian-lighting-melanopic-edi,sensory-environment,RETRACTED-PRE-REHAB,B,69.9,12,full,7,5,0,0,5,0,0,T2:2;T3:5;T4:2;T5:3,4,4,INT:8;US:2;DE:1;NO:1,2,en:11;de:1,91.7,1,16.7,2,8,2,0,20,25.0,13,5,6.9,19,3
30,neurological-built-environment,population-general,RETRACTED-PRE-REHAB,B,69.6,8,full,8,0,0,0,7,0,0,T1:1;T3:7,5,5,INT:3;NL:2;US:1;NO:1;SE:1,1,en:8,100.0,0,12.5,1,3,4,0,16,30,17,0,6.6,19,13
31,jurisdiction-grant-programmes-comprehensive,frameworks-and-methodology,RETRACTED-PRE-REHAB,B,68.2,9,partial,0,9,0,0,0,0,0,T5:9,9,9,CA:1;US:1;UK:1;FR:1;SG:1;DE:1;NO:1;SE:1;DK:1,6,en:4;fr:1;de:1;no:1;sv:1;da:1,44.4,5,33.3,3,0,6,0,16,8.0,20,15,9.2,19,6
32,economics-sources,economics,PARTIAL,B,67.7,23,full,23,0,0,0,20,0,0,T1:2;T2:1;T3:20,6,6,UK:7;NZ:6;US:6;AU:1;SE:1;INT:1,1,en:23,100.0,0,90.9,20,1,1,1,20,30,17,0,0.7,19,0
33,school-environment-autism,sensory-environment,,B,67.5,17,full,17,0,0,0,12,0,0,T1:2;T2:3;T3:12,4,4,US:2;INT:1;IT:1;TN:1,1,en:17,100.0,0,40.0,2,1,2,12,20,30,13,0,4.5,19,13
34,jurisdiction-matrix-accessibility-standards,frameworks-and-methodology,PARTIAL,B,66.4,14,partial,0,4,10,0,0,0,0,T4:4;T6:10,12,12,INT:3;JP:1;SE:1;SG:1;BR:1;EU:1;NO:1;AU:1;ISO:1;US:1;CH:1;IN:1,6,en:9;ja:1;sv:1;pt:1;no:1;de:1,64.3,5,14.3,2,5,7,0,20,2.3,20,15,9.1,19,4
35,threshold-and-level-access,entrances-and-circulation,RETRACTED-PRE-REHAB,B,66.2,15,partial,0,5,10,0,0,0,0,T4:1;T5:4;T6:10,12,12,US:2;UK:2;DE:2;CA:1;NO:1;NL:1;FR:1;BR:1;AU:1;SE:1;JP:1;INT:1,8,en:7;de:2;no:1;nl:1;fr:1;pt:1;sv:1;ja:1,46.7,8,40.0,6,1,8,0,20,2.7,20,15,8.5,19,7
36,deaf-acoustic-built-environment,communication-and-alerts,RETRACTED-PRE-REHAB,B,66.0,10,full,4,5,1,0,0,0,0,T1:2;T2:2;T3:1;T4:3;T5:2,5,5,INT:5;DE:2;UK:1;AU:1;US:1,2,en:9;de:1,90.0,1,30.0,3,5,2,0,16,22.0,17,5,6.0,19,14
37,air-quality-voc-chemical-sensitivity-built-environment,sensory-environment,RETRACTED-PRE-REHAB,B,65.8,12,full,7,5,0,0,6,0,0,T2:1;T3:6;T4:4;T5:1,7,7,INT:4;UK:3;US:1;AU:1;US/AU/SE/UK:1;DE:1;IT:1,1,en:12,100.0,0,50.0,6,4,2,0,20,25.0,17,0,3.8,19,4
38,upper-limb-impairment-built-environment,population-general,RETRACTED-PRE-REHAB,B,65.6,17,full,16,0,1,0,13,0,0,T1:1;T2:2;T3:14,4,4,INT:6;US:6;GB:1;CA:1,1,en:17,100.0,0,50.0,7,6,1,3,20,28.8,13,0,3.8,19,0
39,manoeuvring-footprint-vs-turning-radius-methodology,frameworks-and-methodology,METHODOLOGY-AUTHORED,C,64.7,30,full,28,1,1,0,10,0,0,T1:14;T2:4;T3:11;T4:1,3,3,US:5;INT:2;INT/ZA:1,1,en:30,100.0,0,62.5,5,3,0,22,20,28.9,13,0,2.8,0,0
40,thermal-comfort-older-adults-care-settings,health-and-symptom-management,RETRACTED-PRE-REHAB,C,62.2,6,full,4,1,1,0,2,0,0,T2:2;T3:3;T5:1,4,4,ES:2;INT:2;JP:1;UK:1,2,en:5;ja:1,83.3,1,16.7,1,2,3,0,12,24.7,13,5,7.5,19,4
41,ot-built-environment-interface,frameworks-and-methodology,RETRACTED-PRE-REHAB,C,62.0,16,full,14,0,2,0,13,0,0,T2:1;T3:15,3,3,AU:2;UK:2;INT:1,1,en:16,100.0,0,80.0,4,1,0,11,20,27.5,13,0,1.5,19,3
42,ms-thermal-temperature-conflict-resolution,health-and-symptom-management,RETRACTED-PRE-REHAB,C,61.4,10,full,7,3,0,0,5,0,0,T1:1;T2:1;T3:5;T4:2;T5:1,4,4,INT:7;ES:1;US:1;UK:1,1,en:10,100.0,0,20.0,2,7,1,0,16,26.4,13,0,6.0,19,4
